latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
45.17707,133.39027,301.07,1,1,2025-04-01,0105,Terra,MODIS,42,6.1NRT,269.38,8.49,D
45.16699,133.65675,315.54,1,1,2025-04-01,0105,Terra,MODIS,45,6.1NRT,282.14,13.59,D
45.17879,133.37787,307.42,1,1,2025-04-01,0105,Terra,MODIS,65,6.1NRT,269.78,12.38,D
52.83472,116.91671,302.93,1.21,1.09,2025-04-01,0238,Terra,MODIS,54,6.1NRT,278.91,10.67,D
53.02686,115.66981,307.29,1.1,1.05,2025-04-01,0238,Terra,MODIS,65,6.1NRT,273.75,12.22,D
52.67272,113.76431,302.91,1.02,1.01,2025-04-01,0238,Terra,MODIS,51,6.1NRT,271.11,8.26,D
52.64633,113.15139,307.33,1.01,1,2025-04-01,0238,Terra,MODIS,59,6.1NRT,279.27,8.85,D
52.64416,113.16563,315.18,1.01,1,2025-04-01,0238,Terra,MODIS,75,6.1NRT,278.24,14.69,D
52.6355,113.16215,374.92,1.01,1,2025-04-01,0238,Terra,MODIS,100,6.1NRT,283.68,135.82,D
52.63333,113.17639,340.12,1.01,1,2025-04-01,0238,Terra,MODIS,92,6.1NRT,276.83,44.39,D
53.05787,117.70511,311.27,1.28,1.12,2025-04-01,0238,Terra,MODIS,71,6.1NRT,276.87,20.65,D
52.8379,116.89935,304.28,1.21,1.09,2025-04-01,0238,Terra,MODIS,58,6.1NRT,278.76,11.89,D
55.51802,90.21045,333.39,1.01,1.01,2025-04-01,0419,Terra,MODIS,73,6.1NRT,281.55,32.77,D
55.86835,94.97732,308.21,1.29,1.13,2025-04-01,0419,Terra,MODIS,63,6.1NRT,282.95,14.88,D
56.1627,92.67778,301.8,1.09,1.04,2025-04-01,0419,Terra,MODIS,39,6.1NRT,275.7,6.56,D
56.15387,92.67269,313.28,1.09,1.04,2025-04-01,0419,Terra,MODIS,73,6.1NRT,275.59,15.84,D
55.59339,94.74209,301.87,1.28,1.12,2025-04-01,0419,Terra,MODIS,49,6.1NRT,283.77,8.5,D
55.91985,87.88165,305.02,1.02,1.01,2025-04-01,0419,Terra,MODIS,60,6.1NRT,270.6,9.94,D
55.91776,87.89729,306.12,1.02,1.01,2025-04-01,0419,Terra,MODIS,63,6.1NRT,270.52,10.72,D
55.52903,90.19925,316.48,1.01,1.01,2025-04-01,0419,Terra,MODIS,49,6.1NRT,281.54,14.7,D
55.52666,90.21456,330.23,1.01,1.01,2025-04-01,0419,Terra,MODIS,87,6.1NRT,281.81,30.23,D
55.5204,90.19514,332.48,1.01,1.01,2025-04-01,0419,Terra,MODIS,61,6.1NRT,280.72,30.78,D
55.46437,90.31641,303.14,1.02,1.01,2025-04-01,0419,Terra,MODIS,55,6.1NRT,286.43,5.51,D
55.48432,90.12874,367.95,1.01,1.01,2025-04-01,0419,Terra,MODIS,100,6.1NRT,290.06,106.74,D
55.48195,90.14401,343.77,1.01,1.01,2025-04-01,0419,Terra,MODIS,63,6.1NRT,291.7,44.82,D
55.46659,90.11443,306.14,1.01,1.01,2025-04-01,0419,Terra,MODIS,61,6.1NRT,289.34,7.25,D
55.46423,90.1297,302.64,1.01,1.01,2025-04-01,0419,Terra,MODIS,47,6.1NRT,288.85,5.43,D
55.33266,89.83267,302.66,1.01,1,2025-04-01,0419,Terra,MODIS,53,6.1NRT,285.85,5.35,D
55.33034,89.84782,309.59,1.01,1,2025-04-01,0419,Terra,MODIS,69,6.1NRT,285.5,9.95,D
53.92266,92.74738,317.33,1.2,1.09,2025-04-01,0419,Terra,MODIS,78,6.1NRT,277.74,24.26,D
53.91969,91.82245,307.08,1.12,1.06,2025-04-01,0419,Terra,MODIS,61,6.1NRT,285.05,9.68,D
53.91688,91.8384,321.06,1.13,1.06,2025-04-01,0419,Terra,MODIS,81,6.1NRT,284.58,23.01,D
53.92119,91.64712,389.19,1.11,1.05,2025-04-01,0419,Terra,MODIS,100,6.1NRT,292.44,225.36,D
53.91836,91.66325,424.32,1.11,1.05,2025-04-01,0419,Terra,MODIS,100,6.1NRT,303.38,505.11,D
53.91222,91.64265,319.88,1.11,1.05,2025-04-01,0419,Terra,MODIS,80,6.1NRT,287.65,19.32,D
53.90939,91.65874,313.31,1.11,1.05,2025-04-01,0419,Terra,MODIS,65,6.1NRT,287.65,12.48,D
53.62116,91.90187,308.97,1.14,1.07,2025-04-01,0419,Terra,MODIS,68,6.1NRT,283.97,12.84,D
53.74259,91.09497,303.68,1.09,1.04,2025-04-01,0419,Terra,MODIS,14,6.1NRT,291.3,4.49,D
53.74442,91.02805,311.22,1.08,1.04,2025-04-01,0419,Terra,MODIS,62,6.1NRT,288.9,10.71,D
53.70435,91.10359,310.67,1.09,1.04,2025-04-01,0419,Terra,MODIS,68,6.1NRT,295.22,9.6,D
53.6818,90.5038,314.69,1.06,1.03,2025-04-01,0419,Terra,MODIS,71,6.1NRT,288.94,13.74,D
54.27765,86.21925,335.94,1.04,1.02,2025-04-01,0419,Terra,MODIS,90,6.1NRT,287.2,37.34,D
54.27568,86.23491,346.48,1.04,1.02,2025-04-01,0419,Terra,MODIS,95,6.1NRT,286.88,58.14,D
54.24905,86.15384,304,1.05,1.02,2025-04-01,0419,Terra,MODIS,38,6.1NRT,287.11,5.95,D
53.33694,91.95582,320.31,1.16,1.07,2025-04-01,0419,Terra,MODIS,76,6.1NRT,286.5,24.17,D
53.88147,87.25784,306.24,1.01,1,2025-04-01,0419,Terra,MODIS,63,6.1NRT,286.65,7.82,D
53.87945,87.27262,301.67,1.01,1,2025-04-01,0419,Terra,MODIS,37,6.1NRT,284.7,5.09,D
52.57488,85.3309,304.16,1.05,1.02,2025-04-01,0419,Terra,MODIS,52,6.1NRT,280.93,9.63,D
52.04462,83.40802,312.66,1.17,1.08,2025-04-01,0419,Terra,MODIS,73,6.1NRT,283.66,16.19,D
44.45267,132.24071,305.84,1.68,1.27,2025-04-01,0540,Aqua,MODIS,59,6.1NRT,274.23,15.29,D
44.43994,132.23763,300.15,1.68,1.27,2025-04-01,0540,Aqua,MODIS,11,6.1NRT,274.35,8.36,D
44.45114,132.23549,302.08,1.68,1.27,2025-04-01,0540,Aqua,MODIS,51,6.1NRT,274.18,11.58,D
44.0357,131.31544,302.27,1.48,1.2,2025-04-01,0540,Aqua,MODIS,27,6.1NRT,281.62,7.01,D
44.44283,133.47127,300.92,1.97,1.37,2025-04-01,0540,Aqua,MODIS,29,6.1NRT,284.31,10.62,D
52.93628,116.73881,324.49,1.28,1.12,2025-04-01,0542,Aqua,MODIS,32,6.1NRT,271.87,31.99,D
52.71268,114.81581,301.16,1.55,1.23,2025-04-01,0542,Aqua,MODIS,45,6.1NRT,273.29,13.5,D
53.00322,115.68662,319.21,1.4,1.17,2025-04-01,0542,Aqua,MODIS,40,6.1NRT,269.9,28.27,D
52.90139,115.11628,317.59,1.48,1.2,2025-04-01,0542,Aqua,MODIS,56,6.1NRT,271.77,31.56,D
52.93732,115.0724,304.63,1.49,1.2,2025-04-01,0542,Aqua,MODIS,54,6.1NRT,274.62,15.93,D
53.06692,113.35136,315.91,1.75,1.3,2025-04-01,0542,Aqua,MODIS,0,6.1NRT,269.72,38.38,D
52.66982,113.85023,306.23,1.71,1.28,2025-04-01,0542,Aqua,MODIS,60,6.1NRT,271.71,21.86,D
53.06156,113.32778,306.57,1.75,1.3,2025-04-01,0542,Aqua,MODIS,55,6.1NRT,271.48,22.43,D
52.63746,113.17239,353.45,1.83,1.33,2025-04-01,0542,Aqua,MODIS,83,6.1NRT,279.15,161.92,D
52.74832,113.98554,306.67,1.68,1.27,2025-04-01,0542,Aqua,MODIS,26,6.1NRT,277.09,17.5,D
52.67557,116.49266,308.42,1.33,1.14,2025-04-01,0542,Aqua,MODIS,51,6.1NRT,268.4,18.55,D
54.01665,60.32523,321,1.1,1.05,2025-04-01,0557,Terra,MODIS,81,6.1NRT,287.29,21.68,D
53.9994,59.97725,320.73,1.13,1.06,2025-04-01,0557,Terra,MODIS,80,6.1NRT,287.96,20.88,D
53.99753,59.9939,323.52,1.13,1.06,2025-04-01,0557,Terra,MODIS,82,6.1NRT,289.63,24.07,D
53.80167,60.8797,308.34,1.07,1.03,2025-04-01,0557,Terra,MODIS,67,6.1NRT,286.52,8.07,D
53.89648,59.98927,304.03,1.12,1.06,2025-04-01,0557,Terra,MODIS,57,6.1NRT,287.86,5.56,D
53.79268,60.87664,307.22,1.07,1.03,2025-04-01,0557,Terra,MODIS,65,6.1NRT,284.9,7.11,D
53.45974,59.02689,302.11,1.19,1.08,2025-04-01,0557,Terra,MODIS,44,6.1NRT,286.27,5.98,D
53.4579,59.04424,301.93,1.19,1.08,2025-04-01,0557,Terra,MODIS,38,6.1NRT,286,5.75,D
53.21866,58.79473,306.68,1.2,1.09,2025-04-01,0557,Terra,MODIS,64,6.1NRT,288.98,7.7,D
53.21683,58.81207,308.67,1.2,1.09,2025-04-01,0557,Terra,MODIS,67,6.1NRT,289.73,9.15,D
53.14426,58.99816,304.08,1.18,1.08,2025-04-01,0557,Terra,MODIS,36,6.1NRT,286.87,5.86,D
53.15373,59.00098,318.18,1.18,1.08,2025-04-01,0557,Terra,MODIS,78,6.1NRT,288.59,19.57,D
56.09338,63.42031,300.08,1.01,1.01,2025-04-01,0557,Terra,MODIS,25,6.1NRT,287.21,4.85,D
56.09127,63.43599,301.82,1.01,1.01,2025-04-01,0557,Terra,MODIS,49,6.1NRT,286.02,5.89,D
56.0379,60.78636,300.13,1.13,1.06,2025-04-01,0557,Terra,MODIS,27,6.1NRT,281.8,6.7,D
55.25322,65.88779,316.73,1.03,1.01,2025-04-01,0557,Terra,MODIS,73,6.1NRT,286.54,15.86,D
55.1449,64.31953,306.36,1,1,2025-04-01,0557,Terra,MODIS,63,6.1NRT,288.18,6.92,D
54.92649,65.39602,308.18,1.02,1.01,2025-04-01,0557,Terra,MODIS,67,6.1NRT,289.51,8.25,D
54.92412,65.41117,328.33,1.02,1.01,2025-04-01,0557,Terra,MODIS,86,6.1NRT,287.56,27.47,D
55.11442,63.94753,315.61,1,1,2025-04-01,0557,Terra,MODIS,66,6.1NRT,288.95,13.31,D
54.98618,64.81932,300.57,1.01,1,2025-04-01,0557,Terra,MODIS,39,6.1NRT,288.98,3.31,D
55.09498,63.95517,309.46,1,1,2025-04-01,0557,Terra,MODIS,57,6.1NRT,288.12,8.32,D
55.28468,61.45982,311.67,1.07,1.03,2025-04-01,0557,Terra,MODIS,72,6.1NRT,289.01,11.06,D
